detector,nfeatures,ratio,ransac_thresh,RMSE,MAE,Bias,P95,N,N_in,Coverage,akaze_thresh,nOctaveLayers,contrastThreshold,edgeThreshold,sigma
ORB,5000.0,0.8,1.5,0.04657133891632499,0.029021713814432807,-0.0009207353733532867,0.0888104791606085,129556,129553,0.517763260351231,,,,,
SIFT,800.0,0.75,0.5,0.04701624660939137,0.019984138390792584,-0.0035612074099790653,0.07229936859826601,19583,19578,0.5188030281431117,,3.0,0.04,10.0,1.6
SIFT,800.0,0.75,1.0,0.04701624660939137,0.019984138390792584,-0.0035612074099790653,0.07229936859826601,19583,19578,0.5188030281431117,,3.0,0.04,10.0,1.6
SIFT,800.0,0.75,0.5,0.04701624660939137,0.01998413839079259,-0.0035612074099790653,0.07229936859826601,19583,19578,0.5188030281431117,,3.0,0.02,10.0,1.6
SIFT,800.0,0.75,1.0,0.04701624660939137,0.01998413839079259,-0.0035612074099790653,0.07229936859826601,19583,19578,0.5188030281431117,,3.0,0.02,10.0,1.6
ORB,3000.0,0.8,0.5,0.04724413176263101,0.029679985050993025,-0.0020518133882082524,0.09241834879983206,77438,77438,0.5056017479581064,,,,,
ORB,3000.0,0.8,1.0,0.04724413176263101,0.029679985050993025,-0.0020518133882082524,0.09241834879983206,77438,77438,0.5056017479581064,,,,,
ORB,3000.0,0.8,1.5,0.04724413176263101,0.029679985050993025,-0.0020518133882082524,0.09241834879983206,77438,77438,0.5056017479581064,,,,,
ORB,1500.0,0.8,0.5,0.05083026069957645,0.0312750657286114,-0.004227855334601983,0.09984225438000263,38690,38690,0.48946102713874834,,,,,
ORB,1500.0,0.8,1.0,0.05083026069957645,0.0312750657286114,-0.004227855334601983,0.09984225438000263,38690,38690,0.48946102713874834,,,,,
ORB,1500.0,0.8,1.5,0.05083026069957645,0.0312750657286114,-0.004227855334601983,0.09984225438000263,38690,38690,0.48946102713874834,,,,,
SIFT,3000.0,0.8,0.5,0.051619619221702676,0.018745822460058195,-0.0014246426353472848,0.06133035490314458,77924,77912,0.6207987917567547,,3.0,0.04,10.0,1.6
SIFT,3000.0,0.8,1.0,0.051619619221702676,0.018745822460058195,-0.0014246426353472848,0.06133035490314458,77924,77912,0.6207987917567547,,3.0,0.04,10.0,1.6
SIFT,3000.0,0.8,0.5,0.051619619221702676,0.018745822460058202,-0.0014246426353472855,0.06133035490314458,77924,77912,0.6207987917567547,,3.0,0.02,10.0,1.6
SIFT,3000.0,0.8,1.0,0.051619619221702676,0.018745822460058202,-0.0014246426353472855,0.06133035490314458,77924,77912,0.6207987917567547,,3.0,0.02,10.0,1.6
SIFT,800.0,0.8,0.5,0.0523080233461221,0.02087287139442549,-0.004075634361568745,0.0764769857403379,20002,19992,0.5471941716280457,,3.0,0.04,10.0,1.6
SIFT,800.0,0.8,1.0,0.0523080233461221,0.02087287139442549,-0.004075634361568745,0.0764769857403379,20002,19992,0.5471941716280457,,3.0,0.04,10.0,1.6
SIFT,800.0,0.8,0.5,0.052308023346122105,0.02087287139442549,-0.004075634361568745,0.0764769857403379,20002,19992,0.5471941716280457,,3.0,0.02,10.0,1.6
SIFT,800.0,0.8,1.0,0.052308023346122105,0.02087287139442549,-0.004075634361568745,0.0764769857403379,20002,19992,0.5471941716280457,,3.0,0.02,10.0,1.6
ORB,800.0,0.8,0.5,0.05303942150321522,0.032630669357044194,-0.006586094618003749,0.10770812702224011,20483,20483,0.4867844367637835,,,,,
ORB,800.0,0.8,1.0,0.05303942150321522,0.032630669357044194,-0.006586094618003749,0.10770812702224011,20483,20483,0.4867844367637835,,,,,
ORB,800.0,0.8,1.5,0.05303942150321522,0.032630669357044194,-0.006586094618003749,0.10770812702224011,20483,20483,0.4867844367637835,,,,,
SIFT,1500.0,0.8,0.5,0.05807709387609119,0.01967644062420882,-0.002816437062628474,0.06666316517238455,38335,38324,0.6012534621130302,,3.0,0.04,10.0,1.6
SIFT,1500.0,0.8,1.0,0.05807709387609119,0.01967644062420882,-0.002816437062628474,0.06666316517238455,38335,38324,0.6012534621130302,,3.0,0.04,10.0,1.6
SIFT,1500.0,0.8,0.5,0.05807709387609119,0.019676440624208823,-0.002816437062628474,0.06666316517238455,38335,38324,0.6012534621130302,,3.0,0.02,10.0,1.6
SIFT,1500.0,0.8,1.0,0.05807709387609119,0.019676440624208823,-0.002816437062628474,0.06666316517238455,38335,38324,0.6012534621130302,,3.0,0.02,10.0,1.6
SIFT,5000.0,0.7,0.5,0.06233477346582159,0.017344859665900814,-2.3355522463581915e-05,0.05527536092596297,122923,122914,0.6035803490265014,,3.0,0.02,10.0,1.6
SIFT,5000.0,0.7,1.0,0.06233477346582159,0.017344859665900814,-2.3355522463581915e-05,0.05527536092596297,122923,122914,0.6035803490265014,,3.0,0.02,10.0,1.6
SIFT,5000.0,0.7,0.5,0.06314637371248262,0.017477266326229157,4.714020368252481e-06,0.05610032491364491,118781,118772,0.6035803490265014,,3.0,0.04,10.0,1.6
SIFT,5000.0,0.7,1.0,0.06314637371248262,0.017477266326229157,4.714020368252481e-06,0.05610032491364491,118781,118772,0.6035803490265014,,3.0,0.04,10.0,1.6
SIFT,5000.0,0.75,0.5,0.06335356250650666,0.017873921708746146,-0.0002841628141695521,0.057372481174436274,126620,126610,0.6035803490265014,,3.0,0.02,10.0,1.6
SIFT,5000.0,0.75,1.0,0.06335356250650666,0.017873921708746146,-0.0002841628141695521,0.057372481174436274,126620,126610,0.6035803490265014,,3.0,0.02,10.0,1.6
SIFT,5000.0,0.75,0.5,0.06417832672295276,0.018016625485493706,-0.00026065396864627144,0.05826433410895539,122365,122356,0.6035803490265014,,3.0,0.04,10.0,1.6
SIFT,5000.0,0.75,1.0,0.06417832672295276,0.018016625485493706,-0.00026065396864627144,0.05826433410895539,122365,122356,0.6035803490265014,,3.0,0.04,10.0,1.6
SIFT,5000.0,0.8,0.5,0.06724084679730295,0.018518183362514033,-0.0005219433540623458,0.059747731552812766,129783,129768,0.6207987917567547,,3.0,0.02,10.0,1.6
SIFT,5000.0,0.8,1.0,0.06724084679730295,0.018518183362514033,-0.0005219433540623458,0.059747731552812766,129783,129768,0.6207987917567547,,3.0,0.02,10.0,1.6
SIFT,5000.0,0.8,0.5,0.06811905926641697,0.018678768351483733,-0.0005034109017291834,0.06058491142004515,125455,125441,0.6207987917567547,,3.0,0.04,10.0,1.6
SIFT,5000.0,0.8,1.0,0.06811905926641697,0.018678768351483733,-0.0005034109017291834,0.06058491142004515,125455,125441,0.6207987917567547,,3.0,0.04,10.0,1.6
